profession_name,user_id,lesson_id,lesson_name,lesson_datetime,next_lesson_datetime,delta_seconds,completion_flag
software-engineer,13799,385,lesson - 385,2020-03-15 02:41:14.0000000,2020-04-02 04:17:00.0000000,1560946,NORMAL
data-scientist,13538,388,lesson - 388,2020-03-15 02:42:38.0000000,2020-04-13 00:54:32.0000000,2499114,NORMAL
data-scientist,10438,209,lesson - 209,2020-03-15 02:49:54.0000000,2020-04-02 04:42:49.0000000,1561975,NORMAL
data-analyst,12356,392,lesson - 392,2020-03-15 02:52:24.0000000,2020-03-16 01:57:50.0000000,83126,NORMAL
data-analyst,10524,188,lesson - 188,2020-03-15 02:52:48.0000000,2020-04-01 13:59:13.0000000,1508785,NORMAL
data-analyst,14610,560,lesson - 560,2020-03-15 03:07:29.0000000,2020-03-30 13:43:50.0000000,1334181,NORMAL
data-analyst,12795,292,lesson - 292,2020-03-15 03:08:57.0000000,2020-03-21 16:27:07.0000000,566290,NORMAL
software-engineer,10485,990,lesson - 990,2020-03-15 03:19:42.0000000,2020-03-15 06:07:01.0000000,10039,NORMAL
data-analyst,11240,955,lesson - 955,2020-03-15 03:20:15.0000000,2020-03-29 00:11:57.0000000,1198302,NORMAL
data-scientist,10950,770,lesson - 770,2020-03-15 03:24:45.0000000,2020-04-19 03:32:05.0000000,3024440,NORMAL
data-analyst,11609,495,lesson - 495,2020-03-15 03:26:14.0000000,2020-03-20 14:38:55.0000000,472361,NORMAL
data-analyst,10659,91,lesson - 91,2020-03-15 03:30:37.0000000,2020-03-22 08:32:05.0000000,622888,NORMAL
software-engineer,14384,516,lesson - 516,2020-03-15 03:31:45.0000000,2020-03-15 19:06:50.0000000,56105,NORMAL
software-engineer,10180,500,lesson - 500,2020-03-15 03:37:00.0000000,2020-03-26 12:38:54.0000000,982914,NORMAL
software-engineer,14224,619,lesson - 619,2020-03-15 03:39:29.0000000,2020-03-26 23:36:43.0000000,1022234,NORMAL
data-analyst,12643,842,lesson - 842,2020-03-15 03:48:29.0000000,2020-03-26 11:51:01.0000000,979352,NORMAL
software-engineer,11067,866,lesson - 866,2020-03-15 04:01:33.0000000,2020-03-16 08:25:38.0000000,102245,NORMAL
software-engineer,14272,519,lesson - 519,2020-03-15 04:01:43.0000000,2020-04-03 20:36:26.0000000,1701283,NORMAL
software-engineer,10292,949,lesson - 949,2020-03-15 04:02:05.0000000,2020-03-23 03:19:20.0000000,688635,NORMAL
data-analyst,12133,343,lesson - 343,2020-03-15 04:05:44.0000000,2020-03-18 04:57:07.0000000,262283,NORMAL
data-scientist,12579,387,lesson - 387,2020-03-15 04:19:11.0000000,2020-03-16 15:21:25.0000000,126134,NORMAL
software-engineer,14244,492,lesson - 492,2020-03-15 04:21:34.0000000,2020-04-08 02:15:28.0000000,2066034,NORMAL
data-analyst,14508,905,lesson - 905,2020-03-15 04:24:46.0000000,2020-03-15 09:55:23.0000000,19837,NORMAL
data-scientist,12646,930,lesson - 930,2020-03-15 04:29:13.0000000,2020-03-19 15:18:17.0000000,384544,NORMAL
data-scientist,13153,616,lesson - 616,2020-03-15 04:29:26.0000000,2020-03-17 02:34:46.0000000,165920,NORMAL
software-engineer,13350,550,lesson - 550,2020-03-15 04:34:04.0000000,2020-03-17 08:43:02.0000000,187738,NORMAL
data-scientist,13308,205,lesson - 205,2020-03-15 04:46:45.0000000,2020-03-20 13:39:11.0000000,463946,NORMAL
data-analyst,11773,472,lesson - 472,2020-03-15 04:47:42.0000000,2020-03-17 23:04:09.0000000,238587,NORMAL
data-scientist,14134,532,lesson - 532,2020-03-15 04:48:19.0000000,2020-03-22 10:27:33.0000000,625154,NORMAL
data-analyst,14650,318,lesson - 318,2020-03-15 05:20:17.0000000,2020-04-17 06:56:49.0000000,2856992,NORMAL
data-analyst,10470,51,lesson - 51,2020-03-15 05:40:17.0000000,2020-03-16 20:02:26.0000000,138129,NORMAL
software-engineer,13398,378,lesson - 378,2020-03-15 05:43:12.0000000,2020-04-11 01:16:48.0000000,2316816,NORMAL
software-engineer,10448,619,lesson - 619,2020-03-15 05:45:08.0000000,2020-03-16 00:46:32.0000000,68484,NORMAL
data-analyst,10458,937,lesson - 937,2020-03-15 05:58:41.0000000,2020-03-16 15:30:37.0000000,120716,NORMAL
data-scientist,12445,477,lesson - 477,2020-03-15 06:06:40.0000000,2020-03-25 19:39:45.0000000,912785,NORMAL
software-engineer,10485,492,lesson - 492,2020-03-15 06:07:01.0000000,2020-03-21 12:28:42.0000000,541301,NORMAL
software-engineer,12594,776,lesson - 776,2020-03-15 06:07:36.0000000,2020-05-04 12:26:56.0000000,4342760,NORMAL
software-engineer,11708,576,lesson - 576,2020-03-15 06:11:02.0000000,2020-03-16 20:48:33.0000000,139051,NORMAL
data-scientist,14530,773,lesson - 773,2020-03-15 06:18:49.0000000,2020-03-17 23:15:12.0000000,233783,NORMAL
software-engineer,14350,882,lesson - 882,2020-03-15 06:20:09.0000000,2020-03-25 15:08:37.0000000,895708,NORMAL
software-engineer,13876,122,lesson - 122,2020-03-15 06:26:22.0000000,2020-03-17 10:42:24.0000000,188162,NORMAL
data-scientist,11662,173,lesson - 173,2020-03-15 06:26:51.0000000,2020-03-22 13:40:37.0000000,630826,NORMAL
data-scientist,12356,671,lesson - 671,2020-03-15 06:27:25.0000000,2020-04-10 07:54:41.0000000,2251636,NORMAL
data-analyst,14278,703,lesson - 703,2020-03-15 06:27:36.0000000,2020-03-17 16:14:13.0000000,207997,NORMAL
software-engineer,13167,4,lesson - 4,2020-03-15 06:28:28.0000000,2020-03-29 18:48:48.0000000,1254020,NORMAL
data-scientist,12505,127,lesson - 127,2020-03-15 06:31:38.0000000,2020-03-15 12:53:15.0000000,22897,NORMAL
data-scientist,10429,165,lesson - 165,2020-03-15 06:38:31.0000000,2020-03-20 14:08:25.0000000,458994,NORMAL
software-engineer,11913,680,lesson - 680,2020-03-15 06:41:35.0000000,2020-03-23 04:25:59.0000000,683064,NORMAL
data-analyst,12139,59,lesson - 59,2020-03-15 06:41:38.0000000,2020-03-20 03:27:01.0000000,420323,NORMAL
software-engineer,10054,481,lesson - 481,2020-03-15 06:49:18.0000000,2020-03-28 09:25:02.0000000,1132544,NORMAL
data-scientist,11730,644,lesson - 644,2020-03-15 06:54:45.0000000,2020-03-16 10:39:33.0000000,99888,NORMAL
data-analyst,12198,373,lesson - 373,2020-03-15 06:57:29.0000000,2020-03-19 16:43:25.0000000,380756,NORMAL
data-analyst,14683,239,lesson - 239,2020-03-15 06:59:32.0000000,2020-04-03 08:59:42.0000000,1648810,NORMAL
software-engineer,11217,212,lesson - 212,2020-03-15 07:02:23.0000000,2020-04-04 20:16:25.0000000,1775642,NORMAL
software-engineer,12198,781,lesson - 781,2020-03-15 07:08:24.0000000,2020-05-08 00:04:13.0000000,4640149,NORMAL
data-scientist,10311,879,lesson - 879,2020-03-15 07:09:32.0000000,2020-03-15 21:25:03.0000000,51331,NORMAL
software-engineer,10270,425,lesson - 425,2020-03-15 07:14:19.0000000,2020-03-17 03:50:26.0000000,160567,NORMAL
data-scientist,14326,399,lesson - 399,2020-03-15 07:15:14.0000000,2020-03-31 14:29:02.0000000,1408428,NORMAL
data-analyst,12833,84,lesson - 84,2020-03-15 07:22:07.0000000,2020-03-19 23:21:23.0000000,403156,NORMAL
data-analyst,13503,572,lesson - 572,2020-03-15 07:27:23.0000000,2020-03-21 21:43:01.0000000,569738,NORMAL
software-engineer,13533,17,lesson - 17,2020-03-15 07:33:41.0000000,2020-03-17 18:25:47.0000000,211926,NORMAL
data-analyst,11882,421,lesson - 421,2020-03-15 07:36:39.0000000,2020-03-17 16:39:06.0000000,205347,NORMAL
data-scientist,11679,593,lesson - 593,2020-03-15 07:38:51.0000000,2020-03-16 08:48:50.0000000,90599,NORMAL
software-engineer,14761,311,lesson - 311,2020-03-15 07:41:14.0000000,2020-04-08 08:07:55.0000000,2075201,NORMAL
data-scientist,11287,145,lesson - 145,2020-03-15 07:46:17.0000000,2020-03-20 05:33:12.0000000,424015,NORMAL
data-analyst,12000,379,lesson - 379,2020-03-15 08:00:30.0000000,2020-03-29 03:30:25.0000000,1193395,NORMAL
data-analyst,11387,343,lesson - 343,2020-03-15 08:09:20.0000000,2020-03-15 23:42:29.0000000,55989,NORMAL
data-scientist,12389,541,lesson - 541,2020-03-15 08:10:09.0000000,2020-03-16 17:58:04.0000000,121675,NORMAL
data-analyst,12009,162,lesson - 162,2020-03-15 08:13:30.0000000,2020-03-25 12:01:02.0000000,877652,NORMAL
software-engineer,12572,428,lesson - 428,2020-03-15 08:16:16.0000000,2020-03-16 20:59:08.0000000,132172,NORMAL
software-engineer,13934,882,lesson - 882,2020-03-15 08:19:44.0000000,2020-03-21 01:43:21.0000000,494617,NORMAL
data-analyst,10070,466,lesson - 466,2020-03-15 08:30:35.0000000,2020-03-16 02:44:45.0000000,65650,NORMAL
software-engineer,10549,122,lesson - 122,2020-03-15 08:35:05.0000000,2020-03-26 07:27:24.0000000,946339,NORMAL
software-engineer,10265,17,lesson - 17,2020-03-15 08:40:38.0000000,2020-03-28 04:50:58.0000000,1109420,NORMAL
software-engineer,14887,488,lesson - 488,2020-03-15 08:44:31.0000000,2020-03-20 16:52:53.0000000,461302,NORMAL
data-scientist,12270,693,lesson - 693,2020-03-15 08:46:25.0000000,2020-03-16 19:24:27.0000000,124682,NORMAL
data-scientist,14356,20,lesson - 20,2020-03-15 08:48:38.0000000,2020-03-19 05:10:23.0000000,332505,NORMAL
software-engineer,14397,680,lesson - 680,2020-03-15 08:54:20.0000000,2020-03-21 03:03:55.0000000,497375,NORMAL
data-analyst,10822,203,lesson - 203,2020-03-15 08:56:03.0000000,2020-03-27 05:51:21.0000000,1025718,NORMAL
data-analyst,11155,536,lesson - 536,2020-03-15 08:56:07.0000000,2020-03-28 09:35:37.0000000,1125570,NORMAL
software-engineer,13308,72,lesson - 72,2020-03-15 09:02:46.0000000,2020-03-19 08:56:01.0000000,345195,NORMAL
data-scientist,10053,634,lesson - 634,2020-03-15 09:02:54.0000000,2020-03-25 02:50:08.0000000,841634,NORMAL
software-engineer,14659,867,lesson - 867,2020-03-15 09:08:37.0000000,2020-03-23 13:15:05.0000000,705988,NORMAL
software-engineer,14230,632,lesson - 632,2020-03-15 09:12:40.0000000,2020-03-27 23:21:47.0000000,1087747,NORMAL
data-analyst,12907,160,lesson - 160,2020-03-15 09:13:20.0000000,2020-03-17 11:41:55.0000000,181715,NORMAL
data-analyst,13774,701,lesson - 701,2020-03-15 09:18:45.0000000,2020-03-16 12:20:12.0000000,97287,NORMAL
software-engineer,14020,265,lesson - 265,2020-03-15 09:22:03.0000000,2020-03-20 09:47:17.0000000,433514,NORMAL
data-analyst,12873,282,lesson - 282,2020-03-15 09:23:24.0000000,2020-03-20 01:13:45.0000000,402621,NORMAL
software-engineer,10565,290,lesson - 290,2020-03-15 09:25:49.0000000,2020-03-17 17:59:28.0000000,203619,NORMAL
data-scientist,11100,983,lesson - 983,2020-03-15 09:28:07.0000000,2020-04-05 17:51:48.0000000,1844621,NORMAL
software-engineer,11874,758,lesson - 758,2020-03-15 09:32:32.0000000,2020-03-17 23:40:15.0000000,223663,NORMAL
software-engineer,14482,590,lesson - 590,2020-03-15 09:34:45.0000000,2020-03-23 11:22:16.0000000,697651,NORMAL
software-engineer,14942,519,lesson - 519,2020-03-15 09:37:29.0000000,2020-04-05 00:22:54.0000000,1781125,NORMAL
data-analyst,13799,731,lesson - 731,2020-03-15 09:50:16.0000000,2020-03-29 00:13:05.0000000,1174969,NORMAL
software-engineer,12961,636,lesson - 636,2020-03-15 09:51:15.0000000,2020-03-30 11:50:10.0000000,1303135,NORMAL
data-analyst,14508,315,lesson - 315,2020-03-15 09:55:23.0000000,2020-03-16 00:03:12.0000000,50869,NORMAL
data-scientist,11449,793,lesson - 793,2020-03-15 09:55:25.0000000,2020-04-01 19:19:05.0000000,1502620,NORMAL
data-analyst,11279,331,lesson - 331,2020-03-15 10:00:12.0000000,2020-03-19 10:00:48.0000000,345636,NORMAL
data-scientist,11179,316,lesson - 316,2020-03-15 10:02:54.0000000,2020-03-18 05:35:36.0000000,243162,NORMAL
software-engineer,14902,506,lesson - 506,2020-03-15 10:06:08.0000000,2020-03-15 12:24:03.0000000,8275,NORMAL
software-engineer,14231,854,lesson - 854,2020-03-15 10:11:16.0000000,2020-03-21 03:32:21.0000000,494465,NORMAL
data-scientist,10696,639,lesson - 639,2020-03-15 10:16:57.0000000,2020-03-29 13:33:45.0000000,1221408,NORMAL
data-scientist,11425,470,lesson - 470,2020-03-15 10:24:34.0000000,2020-03-29 06:12:15.0000000,1194461,NORMAL
data-analyst,12595,713,lesson - 713,2020-03-15 10:25:36.0000000,2020-03-27 17:41:12.0000000,1062936,NORMAL
data-scientist,11937,800,lesson - 800,2020-03-15 10:26:13.0000000,2020-03-23 09:28:08.0000000,687715,NORMAL
data-analyst,13350,954,lesson - 954,2020-03-15 10:27:19.0000000,2020-03-17 13:50:32.0000000,184993,NORMAL
data-scientist,10933,132,lesson - 132,2020-03-15 10:32:41.0000000,2020-04-14 04:58:11.0000000,2571930,NORMAL
data-analyst,14889,315,lesson - 315,2020-03-15 10:32:49.0000000,2020-03-16 18:01:46.0000000,113337,NORMAL
software-engineer,14144,636,lesson - 636,2020-03-15 10:40:27.0000000,2020-03-17 06:08:57.0000000,156510,NORMAL
data-scientist,12245,334,lesson - 334,2020-03-15 10:51:31.0000000,2020-03-19 03:18:03.0000000,318392,NORMAL
software-engineer,14899,212,lesson - 212,2020-03-15 10:54:21.0000000,2020-03-21 15:53:15.0000000,536334,NORMAL
software-engineer,14025,327,lesson - 327,2020-03-15 10:54:48.0000000,2020-03-16 01:14:52.0000000,51604,NORMAL
data-scientist,10450,574,lesson - 574,2020-03-15 11:07:37.0000000,2020-03-16 06:57:12.0000000,71375,NORMAL
data-scientist,10702,15,lesson - 15,2020-03-15 11:10:02.0000000,2020-03-24 05:53:01.0000000,758579,NORMAL
data-scientist,12813,260,lesson - 260,2020-03-15 11:11:20.0000000,2020-03-16 23:29:05.0000000,130665,NORMAL
software-engineer,11512,706,lesson - 706,2020-03-15 11:13:42.0000000,2020-03-18 21:14:20.0000000,295238,NORMAL
data-scientist,10301,904,lesson - 904,2020-03-15 11:20:48.0000000,2020-03-17 16:23:25.0000000,190957,NORMAL
data-scientist,12910,73,lesson - 73,2020-03-15 11:21:41.0000000,2020-03-15 17:52:11.0000000,23430,NORMAL
software-engineer,13875,872,lesson - 872,2020-03-15 11:28:19.0000000,2020-03-16 07:13:01.0000000,71082,NORMAL
data-scientist,12181,319,lesson - 319,2020-03-15 11:33:48.0000000,2020-03-28 03:56:28.0000000,1095760,NORMAL
data-scientist,12302,615,lesson - 615,2020-03-15 11:40:43.0000000,2020-03-15 14:38:11.0000000,10648,NORMAL
data-analyst,12487,160,lesson - 160,2020-03-15 11:43:29.0000000,2020-03-15 21:16:40.0000000,34391,NORMAL
data-scientist,12647,496,lesson - 496,2020-03-15 11:45:47.0000000,2020-03-29 08:29:31.0000000,1197824,NORMAL
software-engineer,14121,972,lesson - 972,2020-03-15 11:52:34.0000000,2020-03-21 16:50:39.0000000,536285,NORMAL
data-scientist,12009,300,lesson - 300,2020-03-15 11:54:03.0000000,2020-03-18 09:50:11.0000000,251768,NORMAL
data-scientist,10343,570,lesson - 570,2020-03-15 11:54:56.0000000,2020-03-18 00:30:36.0000000,218140,NORMAL
data-analyst,10660,629,lesson - 629,2020-03-15 12:02:50.0000000,2020-03-18 16:32:17.0000000,275367,NORMAL
software-engineer,11387,293,lesson - 293,2020-03-15 12:03:15.0000000,2020-03-20 17:13:04.0000000,450589,NORMAL
data-analyst,11524,24,lesson - 24,2020-03-15 12:22:42.0000000,2020-03-30 11:50:31.0000000,1294069,NORMAL
software-engineer,14902,342,lesson - 342,2020-03-15 12:24:03.0000000,2020-03-16 11:32:06.0000000,83283,NORMAL
data-analyst,10045,573,lesson - 573,2020-03-15 12:24:45.0000000,2020-04-05 03:42:15.0000000,1783050,NORMAL
software-engineer,14055,939,lesson - 939,2020-03-15 12:26:26.0000000,2020-03-18 08:18:48.0000000,244342,NORMAL
data-scientist,10397,242,lesson - 242,2020-03-15 12:28:29.0000000,2020-04-24 13:12:41.0000000,3458652,NORMAL
data-scientist,10659,127,lesson - 127,2020-03-15 12:33:51.0000000,2020-04-03 15:18:12.0000000,1651461,NORMAL
software-engineer,12929,699,lesson - 699,2020-03-15 12:52:47.0000000,2020-03-26 16:27:00.0000000,963253,NORMAL
data-scientist,12505,651,lesson - 651,2020-03-15 12:53:15.0000000,2020-03-24 18:25:39.0000000,797544,NORMAL
data-analyst,11843,542,lesson - 542,2020-03-15 12:58:30.0000000,2020-03-19 08:07:19.0000000,328129,NORMAL
data-scientist,13829,447,lesson - 447,2020-03-15 13:02:01.0000000,2020-03-27 08:31:05.0000000,1020544,NORMAL
software-engineer,10104,204,lesson - 204,2020-03-15 13:12:56.0000000,2020-03-26 17:30:53.0000000,965877,NORMAL
software-engineer,14648,716,lesson - 716,2020-03-15 13:12:58.0000000,2020-03-20 15:23:51.0000000,439853,NORMAL
software-engineer,13898,720,lesson - 720,2020-03-15 13:15:37.0000000,2020-03-18 07:26:54.0000000,238277,NORMAL
data-analyst,13624,489,lesson - 489,2020-03-15 13:25:05.0000000,2020-03-19 13:57:57.0000000,347572,NORMAL
software-engineer,11239,122,lesson - 122,2020-03-15 13:27:16.0000000,2020-03-31 20:28:30.0000000,1407674,NORMAL
data-analyst,10585,484,lesson - 484,2020-03-15 13:42:17.0000000,2020-03-27 17:12:46.0000000,1049429,NORMAL
software-engineer,12430,935,lesson - 935,2020-03-15 13:49:52.0000000,2020-03-16 08:59:26.0000000,68974,NORMAL
data-analyst,11003,629,lesson - 629,2020-03-15 13:50:56.0000000,2020-04-08 06:56:21.0000000,2048725,NORMAL
data-analyst,12565,631,lesson - 631,2020-03-15 13:58:20.0000000,2020-03-18 10:14:47.0000000,245787,NORMAL
software-engineer,11034,740,lesson - 740,2020-03-15 13:59:20.0000000,2020-04-16 04:31:35.0000000,2730735,NORMAL
software-engineer,13213,356,lesson - 356,2020-03-15 13:59:28.0000000,2020-03-27 13:29:27.0000000,1034999,NORMAL
data-scientist,12167,876,lesson - 876,2020-03-15 14:00:03.0000000,2020-03-31 05:15:59.0000000,1350956,NORMAL
software-engineer,13824,966,lesson - 966,2020-03-15 14:09:08.0000000,2020-03-23 03:54:42.0000000,654334,NORMAL
data-analyst,12689,67,lesson - 67,2020-03-15 14:11:11.0000000,2020-03-25 06:17:57.0000000,835606,NORMAL
data-scientist,13745,800,lesson - 800,2020-03-15 14:11:54.0000000,2020-04-02 07:49:29.0000000,1532255,NORMAL
data-analyst,10922,840,lesson - 840,2020-03-15 14:19:26.0000000,2020-03-16 06:59:45.0000000,60019,NORMAL
data-scientist,13941,58,lesson - 58,2020-03-15 14:34:00.0000000,2020-03-21 08:49:52.0000000,497752,NORMAL
data-scientist,12302,503,lesson - 503,2020-03-15 14:38:11.0000000,2020-03-18 18:36:33.0000000,273502,NORMAL
software-engineer,14206,355,lesson - 355,2020-03-15 14:44:17.0000000,2020-03-25 19:52:28.0000000,882491,NORMAL
software-engineer,13104,912,lesson - 912,2020-03-15 14:48:19.0000000,2020-03-20 15:19:02.0000000,433843,NORMAL
software-engineer,10784,996,lesson - 996,2020-03-15 14:59:12.0000000,2020-04-27 14:45:12.0000000,3714360,NORMAL
data-analyst,14020,354,lesson - 354,2020-03-15 15:04:45.0000000,2020-03-19 15:35:30.0000000,347445,NORMAL
software-engineer,10367,909,lesson - 909,2020-03-15 15:09:37.0000000,2020-03-17 22:59:42.0000000,201005,NORMAL
data-scientist,14456,896,lesson - 896,2020-03-15 15:20:25.0000000,2020-03-18 03:35:52.0000000,216927,NORMAL
software-engineer,12102,425,lesson - 425,2020-03-15 15:21:53.0000000,2020-03-16 00:32:12.0000000,33019,NORMAL
data-scientist,11528,833,lesson - 833,2020-03-15 15:30:15.0000000,2020-04-03 05:05:42.0000000,1604127,NORMAL
data-analyst,14716,736,lesson - 736,2020-03-15 15:33:36.0000000,2020-03-25 11:17:11.0000000,848615,NORMAL
data-analyst,10943,857,lesson - 857,2020-03-15 15:33:43.0000000,2020-03-18 10:10:50.0000000,239827,NORMAL
software-engineer,14626,415,lesson - 415,2020-03-15 15:36:35.0000000,2020-03-27 02:46:11.0000000,990576,NORMAL
data-scientist,12286,185,lesson - 185,2020-03-15 15:46:57.0000000,2020-03-18 18:58:42.0000000,270705,NORMAL
data-analyst,12621,683,lesson - 683,2020-03-15 15:50:15.0000000,2020-03-17 08:38:19.0000000,146884,NORMAL
software-engineer,12002,650,lesson - 650,2020-03-15 15:57:00.0000000,2020-04-21 02:23:25.0000000,3147985,NORMAL
data-analyst,11119,955,lesson - 955,2020-03-15 16:00:27.0000000,2020-03-18 20:42:57.0000000,276150,NORMAL
data-scientist,10154,105,lesson - 105,2020-03-15 16:22:35.0000000,2020-03-23 16:01:24.0000000,689929,NORMAL
software-engineer,14187,171,lesson - 171,2020-03-15 16:27:35.0000000,2020-03-18 01:10:44.0000000,204189,NORMAL
software-engineer,11080,13,lesson - 13,2020-03-15 16:50:16.0000000,2020-03-18 10:55:24.0000000,237908,NORMAL
software-engineer,10891,971,lesson - 971,2020-03-15 16:52:13.0000000,2020-03-25 11:51:59.0000000,845986,NORMAL
data-analyst,14727,315,lesson - 315,2020-03-15 16:53:45.0000000,2020-04-25 07:38:15.0000000,3509070,NORMAL
data-scientist,10524,517,lesson - 517,2020-03-15 16:54:46.0000000,2020-03-15 17:23:07.0000000,1701,NORMAL
data-scientist,12176,628,lesson - 628,2020-03-15 17:03:12.0000000,2020-03-22 08:41:03.0000000,574671,NORMAL
data-scientist,10524,834,lesson - 834,2020-03-15 17:23:07.0000000,2020-03-19 07:03:30.0000000,308423,NORMAL
data-scientist,11961,684,lesson - 684,2020-03-15 17:29:23.0000000,2020-04-02 13:11:04.0000000,1539701,NORMAL
software-engineer,12735,308,lesson - 308,2020-03-15 17:51:54.0000000,2020-03-31 11:08:07.0000000,1358173,NORMAL
data-scientist,12910,274,lesson - 274,2020-03-15 17:52:11.0000000,2020-03-27 15:29:29.0000000,1028238,NORMAL
software-engineer,12101,939,lesson - 939,2020-03-15 17:52:24.0000000,2020-03-20 02:13:24.0000000,375660,NORMAL
software-engineer,13882,865,lesson - 865,2020-03-15 17:57:24.0000000,2020-03-17 15:01:25.0000000,162241,NORMAL
software-engineer,14535,781,lesson - 781,2020-03-15 18:02:03.0000000,2020-03-17 05:54:41.0000000,129158,NORMAL
data-scientist,11886,753,lesson - 753,2020-03-15 18:14:13.0000000,2020-03-24 10:57:22.0000000,751389,NORMAL
software-engineer,12105,483,lesson - 483,2020-03-15 18:19:42.0000000,2020-03-27 12:25:11.0000000,1015529,NORMAL
data-scientist,13482,163,lesson - 163,2020-03-15 18:25:56.0000000,2020-03-16 21:21:56.0000000,96960,NORMAL
data-analyst,10331,950,lesson - 950,2020-03-15 18:27:34.0000000,2020-03-17 13:39:01.0000000,155487,NORMAL
data-analyst,10086,379,lesson - 379,2020-03-15 18:38:45.0000000,2020-03-28 17:15:17.0000000,1118192,NORMAL
data-analyst,10046,416,lesson - 416,2020-03-15 18:38:58.0000000,2020-03-30 10:37:58.0000000,1267140,NORMAL
data-analyst,11484,227,lesson - 227,2020-03-15 18:59:24.0000000,2020-04-08 16:38:13.0000000,2065129,NORMAL
data-analyst,12150,806,lesson - 806,2020-03-15 19:04:06.0000000,2020-03-20 15:57:38.0000000,420812,NORMAL
software-engineer,14384,681,lesson - 681,2020-03-15 19:06:50.0000000,2020-03-16 04:03:35.0000000,32205,NORMAL
software-engineer,10856,594,lesson - 594,2020-03-15 19:10:02.0000000,2020-03-19 11:57:25.0000000,319643,NORMAL
software-engineer,12113,512,lesson - 512,2020-03-15 19:16:06.0000000,2020-04-05 14:03:28.0000000,1795642,NORMAL
data-scientist,14533,417,lesson - 417,2020-03-15 19:19:01.0000000,2020-03-17 20:17:50.0000000,176329,NORMAL
